Americanize Americanized Americanizing Americanizes
rut rutted rutting ruts
saber sabered sabering sabers
sabotage sabotaged sabotaging sabotages
sabre sabred sabring sabres
sack sacked sacking sacks
sacrifice sacrificed sacrificing sacrifices
sadden saddened saddening saddens
saddle saddled saddling saddles
safari safaried safariing safaris
safeguard safeguarded safeguarding safeguards
sag sagged sagging sags
sail sailed sailing sails
sailplane sailplaned sailplaning sailplanes
saint sainted sainting saints
salaam salaamed salaaming salaams
salivate salivated salivating salivates
sallow sallowed sallowing sallows
sally sallied sallying sallies
salsa salsaed salsaing salsas
salt salted salting salts
saltate saltated saltating saltates
salute saluted saluting salutes
salvage salvaged salvaging salvages
salve salved salving salves
salvo salvoed salvoing salvos,
samba sambaed sambaing sambas
sample sampled sampling samples
sanctify sanctified sanctifying sanctifies
sanction sanctioned sanctioning sanctions
sand sanded sanding sands
sandbag sandbagged sandbagging sandbags
sandblast sandblasted sandblasting sandblasts
sandpaper sandpapered sandpapering sandpapers
sandwich sandwiched sandwiching sandwiches
sanitize sanitized sanitizing sanitizes
sap sapped sapping saps
saponify saponified saponifying saponifies
sash sashed sashing sashes
sashay sashayed sashaying sashays
sass sassed sassing sasses
sate sated sating sates
satellite satellited satelliting satellites
satiate satiated satiating satiates
satirize satirized satirizing satirizes
satisfy satisfied satisfying satisfies
saturate saturated saturating saturates
sauce sauced saucing sauces
sauna saunaed saunaing saunas
saunter sauntered sauntering saunters
savage savaged savaging savages
save saved saving saves
savor savored savoring savors
savour savoured savouring savours
savvy savvied savvying savvies
say said saying says,
scab scabbed scabbing scabs
scabbard scabbarded scabbarding scabbards
scaffold scaffolded scaffolding scaffolds
scald scalded scalding scalds
scale scaled scaling scales
scallop scalloped scalloping scallops
scalp scalped scalping scalps
scam scammed scamming scams
scamp scamped scamping scamps
scamper scampered scampering scampers
scan scanned scanning scans
scandalize scandalized scandalizing scandalizes
scant scanted scanting scants
scapegoat scapegoated scapegoating scapegoats
scare scared scaring scares
scarf scarfed scarfing scarfs
scarify scarified scarifying scarifies
scarp scarped scarping scarps
scarper scarpered scarpering scarpers
scat scatted scatting scats
scatter scattered scattering scatters
scavenge scavenged scavenging scavenges
scend scended scending scends
scent scented scenting scents
scepter sceptered sceptering scepters
sceptre sceptred sceptring sceptres
schedule scheduled scheduling schedules
schematize schematized schematizing schematizes
scheme schemed scheming schemes
schlep schlepped schlepping schleps
schlepp schlepped schlepping schlepps
schmooze schmoozed schmoozing schmoozes
school schooled schooling schools
schoolmaster schoolmastered schoolmastering schoolmasters
schuss schussed schussing schusses
scintillate scintillated scintillating scintillates
scissor scissored scissoring scissors
sclaff sclaffed sclaffing sclaffs
scoff scoffed scoffing scoffs
scold scolded scolding scolds
scollop scolloped scolloping scollops
sconce sconced sconcing sconces
scoop scooped scooping scoops
scoot scooted scooting scoots
scope scoped scoping scopes
scorch scorched scorching scorches
score scored scoring scores
scorn scorned scorning scorns
scotch scotched scotching scotches
scour scoured scouring scours
scourge scourged scourging scourges
scout scouted scouting scouts
scow scowed scowing scows
scowl scowled scowling scowls
scrabble scrabbled scrabbling scrabbles
scrag scragged scragging scrags
scram scrammed scramming scrams
scramble scrambled scrambling scrambles
scranch scranched scranching scranchs
scrape scraped scraping scrapes
scratch scratched scratching scratches
scrawl scrawled scrawling scrawls
screak screaked screaking screaks
scream screamed screaming screams
screech screeched screeching screeches
screen screened screening screens
screw screwed screwing screws
scribble scribbled scribbling scribbles
scribe scribed scribing scribes
scrimmage scrimmaged scrimmaging scrimmages
scrimp scrimped scrimping scrimps
scrimshank scrimshanked scrimshanking scrimshanks
scrimshaw scrimshawed scrimshawing scrimshaws
script scripted scripting scripts
scroll scrolled scrolling scrolls
scrooge scrooged scrooging scrooges
scrounge scrounged scrounging scrounges
scrub scrubbed scrubbing scrubs
scrunch scrunched scrunching scrunches
scruple scrupled scrupling scruples
scrutinize scrutinized scrutinizing scrutinizes
scuba scubaed scubaing scubas
scud scudded scudding scuds
scuff scuffed scuffing scuffs
scuffle scuffled scuffling scuffles
scull sculled sculling sculls,
sculpt sculpted sculpting sculpts
sculpture sculptured sculpturing sculptures
scum scummed scumming scums
scupper scuppered scuppering scuppers
scurry scurried scurrying scurries
scuttle scuttled scuttling scuttles
scythe scythed scything scythes
seal sealed sealing seals
seam seamed seaming seams
sear seared searing sears
search searched searching searches
season seasoned seasoning seasons
seat seated seating seats
secede seceded seceding secedes
secern secerned secerning secerns
seclude secluded secluding secludes
second seconded seconding seconds,
secrete secreted secreting secretes
section sectioned sectioning sections
sector sectored sectoring sectors
secularize secularized secularizing secularizes
secure secured securing secures
sedate sedated sedating sedates
sediment sedimented sedimenting sediments
seduce seduced seducing seduces
see saw seen seeing
seed seeded seeding seeds
seek sought seeking seeks
seel seeled seeling seels
seem seemed seeming seems
seep seeped seeping seeps
seesaw seesawed seesawing seesaws
seethe seethed, 2 seethed,
segment segmented segmenting segments
segregate segregated segregating segregates
segue segued segueing, 2
seine seined seining seines
seize seized seizing seizes
select selected selecting selects
self selfed selfing selfs
sell sold selling sells,
semaphore semaphored semaphoring semaphores
send sent sending sends
sensationalize sensationalized sensationalizing sensationalizes
sense sensed sensing senses
sensitize sensitized sensitizing sensitizes
sensualize sensualized sensualizing sensualizes
sentence sentenced sentencing sentences
sentimentalise sentimentalised sentimentalising sentimentalises
sentimentalize sentimentalized sentimentalizing sentimentalizes
separate separated separating separates
sepulcher sepulchered sepulchering sepulchers
sepulchre sepulchred sepulchring sepulchres
sequence sequenced sequencing sequences
sequester sequestered sequestering sequesters
sequestrate sequestrated sequestrating sequestrates
serenade serenaded serenading serenades
serge serged serging serges
serialize serialized serializing serializes
sermonize sermonized sermonizing sermonizes
serpentine serpentined serpentining serpentines
serrate serrated serrating serrates
serve served serving serves
service serviced servicing services
servo servoed servoing servos
set set setting sets
settle settled settling settles
sever severed severing severs
sewer sewered sewering sewers
sex sexed sexing sexes
shack shacked shacking shacks
shackle shackled shackling shackles
shade shaded shading shades
shadow shadowed shadowing shadows
shadowbox shadowboxed shadowboxing shadowboxes
shaft shafted shafting shafts
shag shagged shagging shags
shake shook shaken shaking
shall should shall, 2
shallow shallowed shallowing shallows
shamble shambled shambling shambles
shame shamed shaming shames
shammy shammied shammying shammies
shampoo shampooed shampooing shampoos
shanghai shanghaied shanghaiing shanghais
shank shanked shanking shanks
shanty shantied shantying shanties
shape shaped shaping shapes
share shared sharing shares
sharecrop sharecropped sharecropping sharecrops
shark sharked sharking sharks
sharp sharped sharping sharps
sharpen sharpened sharpening sharpens
shatter shattered shattering shatters
sheaf sheafed sheafing sheafs
sheath sheathed sheathing sheaths
sheathe sheathed sheathing sheathes
sheave sheaved sheaving sheaves
shed shed shedding sheds
sheen sheened sheening sheens
sheer sheered sheering sheers
sheet sheeted sheeting sheets
shelf shelfed shelfing shelfs
shell shelled shelling shells
shellac shellacked shellacking shellacs
shellack shellacked shellacking shellacks
shelter sheltered sheltering shelters
shelve shelved shelving shelves
shepherd shepherded shepherding shepherds
shew shewed shewn shewing
shield shielded shielding shields
shift shifted shifting shifts
shill shilled shilling shills
shillyshally shillyshallied shillyshallying shillyshallies
shim shimmed shimming shims
shimmer shimmered shimmering shimmers
shimmy shimmied shimmying shimmies
shine shone, {polish} shining
shingle shingled shingling shingles
shinny shinnied shinnying shinnies
ship shipped shipping ships
shipwreck shipwrecked shipwrecking shipwrecks
shirk shirked shirking shirks
shirr shirred shirring shirrs
shirt shirted shirting shirts
shiver shivered shivering shivers
shlep shlepped shlepping shleps
shlepp shlepped shlepping shlepps
shmooze shmoozed shmoozing shmoozes
shoal shoaled shoaling shoals
shock shocked shocking shocks
shoehorn shoehorned shoehorning shoehorns
shoo shooed shooing shoos
shoot shot shooting shoots
shop shopped shopping shops
shoplift shoplifted shoplifting shoplifts
shore shored shoring shores
short shorted shorting shorts
shortchange shortchanged shortchanging shortchanges
shorten shortened shortening shortens
shortwave shortwaved shortwaving, 2
shot shotted shotting shots
shotgun shotgunned shotgunning shotguns
shoulder shouldered shouldering shoulders
shout shouted shouting shouts
shove shoved shoving shoves
showboat showboated showboating showboats
showcase showcased showcasing showcases
shower showered showering showers
shriek shrieked shrieking shrieks
shrill shrilled shrilling shrills
shrimp shrimped shrimping shrimps
shrine shrined shrining shrines
shrinkwrap shrinkwrapped shrinkwrapping shrinkwraps
shroud shrouded shrouding shrouds
shrug shrugged shrugging shrugs
shuck shucked shucking shucks
shudder shuddered shuddering shudders
shuffle shuffled shuffling shuffles
shun shunned shunning shuns
shunt shunted shunting shunts
shush shushed shushing shushes
shutter shuttered shuttering shutters
shuttle shuttled shuttling shuttles
shuttlecock shuttlecocked shuttlecocking shuttlecocks
shy shied shying shies
sibilate sibilated sibilating sibilates
sic sicked, 2 sicking,
sick sicked sicking sicks
sicken sickened sickening sickens
sickly sicklied sicklying sicklies
side sided siding sides
sideline sidelined sidelining sidelines
sidestep sidestepped sidestepping sidesteps
sidestroke sidestroked sidestroking sidestrokes
sideswipe sideswiped sideswiping sideswipes
sidetrack sidetracked sidetracking sidetracks
sidle sidled sidling sidles
siege sieged sieging sieges
sieve sieved sieving sieves
sift sifted sifting sifts
sigh sighed sighing sighs
sight sighted sighting sights
sightread sightread sightreading sightreads
sightsee sightsaw sightseen sightseeing
sign signed signing signs
signalize signalized signalizing signalizes
signet signeted signeting signets
signify signified signifying signifies
signpost signposted signposting signposts
silence silenced silencing silences
silhouette silhouetted silhouetting silhouettes
silk silked silking silks
silkscreen silkscreened silkscreening silkscreens
silo siloed siloing silos
silt silted silting silts
silver silvered silvering silvers
simmer simmered simmering simmers
simonize simonized simonizing simonizes
simper simpered simpering simpers
simplify simplified simplifying simplifies
simulate simulated simulating simulates
sin sinned sinning sins
sinew sinewed sinewing sinews
sing sang sung singing
singe singed singeing, 2
single singled singling singles
singsong singsonged singsonging singsongs
singularize singularized singularizing singularizes
sinter sintered sintering sinters
siphon siphoned siphoning siphons
sire sired siring sires
sirup siruped siruping sirups
site sited siting sites
situate situated situating situates
size sized sizing sizes
sizzle sizzled sizzling sizzles
skate skated skating skates
skateboard skateboarded skateboarding skateboards
skedaddle skedaddled skedaddling skedaddles
sketch sketched sketching sketches
skew skewed skewing skews
skewer skewered skewering skewers
ski skied skiing skis,
skid skidded skidding skids
skill skilled skilling skills
skim skimmed skimming skims
skimp skimped skimping skimps
skin skinned skinning skins
skip skipped skipping skips
skipper skippered skippering skippers
skirl skirled skirling skirls
skirmish skirmished skirmishing skirmishes
skirt skirted skirting skirts
skitter skittered skittering skitters
skittle skittled skittling skittles
skive skived skiving skives
skivvy skivvied skivvying skivvies
skoal skoaled skoaling skoals
skreigh skreighed skreighing skreighs
skulk skulked skulking skulks
skunk skunked skunking skunks
skyjack skyjacked skyjacking skyjacks
skylark skylarked skylarking skylarks
skyline skylined skylining skylines
skyrocket skyrocketed skyrocketing skyrockets
slab slabbed slabbing slabs
slabber slabbered slabbering slabbers
slack slacked slacking slacks
slacken slackened slackening slackens
slag slagged slagging slags
slake slaked slaking slakes
slalom slalomed slaloming slaloms
slam slammed slamming slams
slander slandered slandering slanders
slang slanged slanging slangs
slant slanted slanting slants
slap slapped slapping slaps
slash slashed slashing slashes
slate slated slating slates
slather slathered slathering slathers
slaughter slaughtered slaughtering slaughters
slave slaved slaving slaves
slaver slavered slavering slavers
slay slew slain slaying
sled sledded sledding sleds
sledge sledged sledging sledges
sledgehammer sledgehammered sledgehammering sledgehammers
sleek sleeked sleeking sleeks
sleep slept sleeping sleeps
sleepwalk sleepwalked sleepwalking sleepwalks
sleet sleeted sleeting sleets
sleeve sleeved sleeving sleeves
sleigh sleighed sleighing sleighs
slenderize slenderized slenderizing slenderizes
sleuth sleuthed sleuthing sleuths
slew slewed slewing slews
slice sliced slicing slices
slick slicked slicking slicks
slide slid sliding slides
slight slighted slighting slights
slime slimed sliming slimes
sling slung slinging slings
slipcover slipcovered slipcovering slipcovers
slipper slippered slippering slippers
slipstream slipstreamed slipstreaming slipstreams
slit slit slitted |
slither slithered slithering slithers
sliver slivered slivering slivers
slobber slobbered slobbering slobbers
slog slogged slogging slogs
sloganeer sloganeered sloganeering sloganeers
slope sloped sloping slopes
slosh sloshed sloshing sloshes
slot slotted slotting slots
slouch slouched slouching slouches
slough sloughed sloughing sloughs
slow slowed slowing slows
slue slued sluing, 2
slug slugged slugging slugs
sluice sluiced sluicing sluices
slum slummed slumming slums
slumber slumbered slumbering slumbers
slump slumped slumping slumps
slur slurred slurring slurs
slurp slurped slurping slurps
slurry slurried slurrying slurries
slush slushed slushing slushes
smack smacked smacking smacks
smart smarted smarting smarts
smarten smartened smartening smartens
smash smashed smashing smashes
smatter smattered smattering smatters
smear smeared smearing smears
smelt smelted smelting smelts
smile smiled smiling smiles
smirch smirched smirching smirches
smirk smirked smirking smirks
smith smithed smithing smiths
smock smocked smocking smocks
smoke smoked smoking smokes
smolder smoldered smoldering smolders
smooch smooched smooching smooches
smooth smoothed smoothing smooths,
smoothen smoothened smoothening smoothens
smother smothered smothering smothers
smoulder smouldered smouldering smoulders
smudge smudged smudging smudges
smuggle smuggled smuggling smuggles
smut smutted smutting smuts
smutch smutched smutching smutches
snack snacked snacking snacks
snaffle snaffled snaffling snaffles
snafu snafued snafuing snafus
snag snagged snagging snags
snail snailed snailing snails
snake snaked snaking snakes
snap snapped snapping snaps
snare snared snaring snares
snarf snarfed snarfing snarfs
snarl snarled snarling snarls
snatch snatched snatching snatches
sneer sneered sneering sneers
sneeze sneezed sneezing sneezes
snick snicked snicking snicks
snicker snickered snickering snickers
sniff sniffed sniffing sniffs
sniffle sniffled sniffling sniffles
snigger sniggered sniggering sniggers
snipe sniped sniping snipes
snitch snitched snitching snitches
snog snogged snogging snogs
snood snooded snooding snoods
snooker snookered snookering snookers
snoop snooped snooping snoops
snoot snooted snooting snoots
snooze snoozed snoozing snoozes
snore snored snoring snores
snort snorted snorting snorts
snow snowed snowing snows
snowball snowballed snowballing snowballs
snowboard snowboarded snowboarding snowboards
snowmobile snowmobiled snowmobiling snowmobiles
snowplow snowplowed snowplowing snowplows
snowshoe snowshoed snowshoeing snowshoes
snub snubbed snubbing snubs
snuff snuffed snuffing snuffs
snuffle snuffled snuffling snuffles
snug snugged snugging snugs
snuggle snuggled snuggling snuggles
soak soaked soaking soaks
soap soaped soaping soaps
soar soared soaring soars
sob sobbed sobbing sobs
sober sobered sobering sobers
socialize socialized socializing socializes
sock socked socking socks
socket socketed socketing sockets
sod sodded sodding sods
sodden soddened soddening soddens
sodomize sodomized sodomizing sodomizes
soften softened softening softens
soil soiled soiling soils
sojourn sojourned sojourning sojourns
solace solaced solacing solaces
solder soldered soldering solders
soldier soldiered soldiering soldiers
sole soled soling soles
solemnify solemnified solemnifying solemnifies
solemnize solemnized solemnizing solemnizes
solicit solicited soliciting solicits
solidify solidified solidifying solidifies
soliloquize soliloquized soliloquizing soliloquizes
solo soloed soloing solos
solvate solvated solvating solvates
solve solved solving solves
somersault somersaulted somersaulting somersaults
somerset somersetted, 2 somersetting,
somnambulate somnambulated somnambulating somnambulates
soot sooted sooting soots
soothe soothed soothing soothes
sop sopped sopping sops
sophisticate sophisticated sophisticating sophisticates
sorb sorbed sorbing sorbs
sorrow sorrowed sorrowing sorrows
sort sorted sorting sorts
sortie sortied sortieing sorties
sough soughed soughing soughs
sound sounded sounding sounds
soundproof soundproofed soundproofing soundproofs
soup souped souping soups
sour soured souring sours
source sourced sourcing sources
souse soused sousing souses
south southed southing souths
sovietize sovietized sovietizing sovietizes
space spaced spacing spaces
spacewalk spacewalked spacewalking spacewalks
spade spaded spading spades
spang spanged spanging spangs
spangle spangled spangling spangles
spank spanked spanking spanks
spare spared sparing spares
spark sparked sparking sparks
sparkle sparkled sparkling sparkles
spat spatted spatting spats
spatchcock spatchcocked spatchcocking spatchcocks
spatter spattered spattering spatters
spawn spawned spawning spawns
spay spayed spaying spays
speak spoke, 2 spoken,
spear speared spearing spears
spearfish spearfished spearfishing spearfishes
spearhead spearheaded spearheading spearheads
specialize specialized specializing specializes
specify specified specifying specifies
speck specked specking specks
speckle speckled speckling speckles
spectate spectated spectating spectates
speculate speculated speculating speculates
speechify speechified speechifying speechifies
spellbind spellbound spellbinding spellbinds
spelunk spelunked spelunking spelunks
spend spent spending spends
spew spewed spewing spews
sphere sphered sphering spheres
spice spiced spicing spices
spiderweb spiderwebbed spiderwebbing spiderwebs
spiel spieled spieling spiels
spike spiked spiking spikes
spin spun spinning spins
spindle spindled spindling spindles
spire spired spiring spires
spirit spirited spiriting spirits
spiritualize spiritualized spiritualizing spiritualizes
spirt spirted spirting spirts
spit spitted spit spat
spite spited spiting spites
splash splashed splashing splashes
splat splatted splatting splats
splatter splattered splattering splatters
splay splayed splaying splays
splice spliced splicing splices
splint splinted splinting splints
splinter splintered splintering splinters
split split splitting splits
splosh sploshed sploshing sploshes
splotch splotched splotching splotches
splurge splurged splurging splurges
splutter spluttered spluttering splutters
spoke spoked spoking spokes
sponge sponged sponging sponges
sponsor sponsored sponsoring sponsors
spoof spoofed spoofing spoofs
spook spooked spooking spooks
spool spooled spooling spools
spoon spooned spooning spoons
spoonfeed spoonfed spoonfeeding spoonfeeds
spoor spoored spooring spoors
spore spored sporing spores
sport sported sporting sports
sportscast sportscast sportscasting sportscasts
spot spotted spotting spots
spouse spoused spousing spouses
spout spouted spouting spouts
sprain sprained spraining sprains
sprawl sprawled sprawling sprawls
spray sprayed spraying sprays
spread spread spreading spreads
spree spreed spreeing sprees
sprig sprigged sprigging sprigs
sprinkle sprinkled sprinkling sprinkles
sprint sprinted sprinting sprints
spritz spritzed spritzing spritzes
sprout sprouted sprouting sprouts
spruce spruced sprucing spruces
spud spudded spudding spuds
spue spued spuing spues
spume spumed spuming spumes
spur spurred spurring spurs
spurn spurned spurning spurns
spurt spurted spurting spurts
sputter sputtered sputtering sputters
spy spied spying spies
squabble squabbled squabbling squabbles
squadron squadroned squadroning squadrons
squall squalled squalling squalls
squander squandered squandering squanders
square squared squaring squares
squash squashed squashing squashes
squat squatted squatting squats
squawk squawked squawking squawks
squeak squeaked squeaking squeaks
squeal squealed squealing squeals
squeegee squeegeed squeegeeing squeegees
squeeze squeezed squeezing squeezes
squelch squelched squelching squelches
squib squibbed squibbing squibs
squiggle squiggled squiggling squiggles
squinch squinched squinching squinches
squint squinted squinting squints
squire squired squiring squires
squirm squirmed squirming squirms
squirt squirted squirting squirts
squish squished squishing squishes
stab stabbed stabbing stabs
stabilize stabilized stabilizing stabilizes
stable stabled stabling stables
stack stacked stacking stacks
staff staffed staffing staffs
stage staged staging stages
stagger staggered staggering staggers
stagnate stagnated stagnating stagnates
stain stained staining stains
stake staked staking stakes
stale staled staling stales
stalemate stalemated stalemating stalemates
stalk stalked stalking stalks
stall stalled stalling stalls
stammer stammered stammering stammers
stamp stamped stamping stamps
stampede stampeded stampeding stampedes
stanch stanched stanching stanches
stanchion stanchioned stanchioning stanchions
stand stood standing stands
standardize standardized standardizing standardizes
staple stapled stapling staples
starboard starboarded starboarding starboards
starch starched starching starches
stare stared staring stares
stargaze stargazed stargazing stargazes
start started starting starts
startle startled startling startles
starve starved starving starves
stash stashed stashing stashes
state stated stating states
station stationed stationing stations
statue statued statuing statues
staunch staunched staunching staunches
stay stayed, 2 staying
stead steaded steading steads
steady steadied steadying steadies
steal stole stolen stealing
steam steamed steaming steams
steamer steamered steamering steamers
steamroll steamrolled steamrolling steamrolls
steamroller steamrollered steamrollering steamrollers
steel steeled steeling steels
steep steeped steeping steeps
steepen steepened steepening steepens
steeplechase steeplechased steeplechasing steeplechases
steer steered steering steers
stem stemmed stemming stems
step stepped stepping steps
stereo stereoed stereoing stereos
stereotype stereotyped stereotyping stereotypes
sterilize sterilized sterilizing sterilizes
stet stetted stetting stets
stevedore stevedored stevedoring stevedores
stew stewed stewing stews
steward stewarded stewarding stewards
stick stuck sticking sticks
sticker stickered stickering stickers
stickle stickled stickling stickles
stiff stiffed stiffing stiffs
stiffen stiffened stiffening stiffens
stifle stifled stifling stifles
stigmatize stigmatized stigmatizing stigmatizes
stiletto stilettoed stilettoing stilettos,
still stilled stilling stills
stilt stilted stilting stilts
stimulate stimulated stimulating stimulates
sting stung stinging stings
stint stinted stinting stints
stipple stippled stippling stipples
stipulate stipulated stipulating stipulates
stir stirred stirring stirs
stitch stitched stitching stitches
stock stocked stocking stocks
stockade stockaded stockading stockades
stockpile stockpiled stockpiling stockpiles
stoke stoked stoking stokes
stomach stomached stomaching stomachs
stomp stomped stomping stomps
stone stoned stoning stones
stonewall stonewalled stonewalling stonewalls
stonewash stonewashed stonewashing stonewashes
stooge stooged stooging stooges
stool stooled stooling stools
stoop stooped stooping stoops
stopper stoppered stoppering stoppers
stopple stoppled stoppling stopples
store stored storing stores
storm stormed storming storms
story storied storying stories
stove stoved stoving stoves
stow stowed stowing stows
straddle straddled straddling straddles
strafe strafed strafing strafes
straggle straggled straggling straggles
straighten straightened straightening straightens
straightjacket straightjacketed straightjacketing straightjackets
strain strained straining strains
straiten straitened straitening straitens
straitjacket straitjacketed straitjacketing straitjackets
strand stranded stranding strands
strangle strangled strangling strangles
strangulate strangulated strangulating strangulates
strap strapped strapping straps
stratify stratified stratifying stratifies
straw strawed strawing straws
stray strayed straying strays
streak streaked streaking streaks
stream streamed streaming streams
streamline streamlined streamlining streamlines
strengthen strengthened strengthening strengthens
stress stressed stressing stresses
stretch stretched stretching stretches
stretcher stretchered stretchering stretchers
striate striated striating striates
strickle strickled strickling strickles
stride strode stridden striding
stridulate stridulated stridulating stridulates
string strung stringing strings
stripe striped striping stripes
striptease stripteased stripteasing stripteases
stroke stroked stroking strokes
stroll strolled strolling strolls
strop stropped stropping strops
structure structured structuring structures
struggle struggled struggling struggles
strum strummed strumming strums
strut strutted strutting struts
stub stubbed stubbing stubs
stucco stuccoed stuccoing stuccoes,
stud studded studding studs
study studied studying studies
stuff stuffed stuffing stuffs
stultify stultified stultifying stultifies
stumble stumbled stumbling stumbles
stump stumped stumping stumps
stun stunned stunning stuns
stunt stunted stunting stunts
stupefy stupefied stupefying stupefies
stutter stuttered stuttering stutters
sty stied stying sties,
style styled styling styles
stylize stylized stylizing stylizes
stymie stymied stymieing, 2
stymy stymied stymying stymies
sub subbed subbing subs
subcontract subcontracted subcontracting subcontracts
subculture subcultured subculturing subcultures
subdivide subdivided subdividing subdivides
subdue subdued subduing subdues
subedit subedited subediting subedits
subject subjected subjecting subjects
subjoin subjoined subjoining subjoins
subjugate subjugated subjugating subjugates
sublease subleased subleasing subleases
sublet sublet subletting sublets
sublimate sublimated sublimating sublimates
sublime sublimed subliming sublimes
submarine submarined submarining submarines
submerge submerged submerging submerges
submerse submersed submersing submerses
submit submitted submitting submits
subordinate subordinated subordinating subordinates
suborn suborned suborning suborns
subpena subpenaed subpenaing subpenas
subpoena subpoenaed subpoenaing subpoenas
subscribe subscribed subscribing subscribes
subserve subserved subserving subserves
subside subsided subsiding subsides
subsidize subsidized subsidizing subsidizes
subsist subsisted subsisting subsists
substantiate substantiated substantiating substantiates
substitute substituted substituting substitutes
subsume subsumed subsuming subsumes
subtend subtended subtending subtends
subtilize subtilized subtilizing subtilizes
subtitle subtitled subtitling subtitles
subtract subtracted subtracting subtracts
suburbanize suburbanized suburbanizing suburbanizes
subvert subverted subverting subverts
subway subwayed subwaying subways
succeed succeeded succeeding succeeds
succor succored succoring succors
succour succoured succouring succours
succumb succumbed succumbing succumbs
suck sucked sucking sucks
sucker suckered suckering suckers
suckle suckled suckling suckles
suction suctioned suctioning suctions
suds sudsed sudsing sudses
sue sued suing sues
suede sueded sueding suedes
suffer suffered suffering suffers
suffice sufficed sufficing suffices
suffix suffixed suffixing suffixes
suffocate suffocated suffocating suffocates
suffuse suffused suffusing suffuses
sugar sugared sugaring sugars
sugarcoat sugarcoated sugarcoating sugarcoats
suggest suggested suggesting suggests
suicide suicided suiciding suicides
suit suited suiting suits
sulfate sulfated sulfating sulfates
sulfur sulfured sulfuring sulfurs
sulk sulked sulking sulks
sully sullied sullying sullies
sulphur sulphured sulphuring sulphurs
sum summed summing sums
summarize summarized summarizing summarizes
summate summated summating summates
summer summered summering summers
summit summited summiting summits
summon summoned summoning summons
summons summonsed summonsing summonses
sun sunned sunning suns
sunbathe sunbathed sunbathing sunbathes
sunder sundered sundering sunders
sundown sundowned sundowning sundowns
suntan suntanned suntanning suntans
sup supped supping sups
superannuate superannuated superannuating superannuates
supercharge supercharged supercharging supercharges
superimpose superimposed superimposing superimposes
superintend superintended superintending superintends
superpose superposed superposing superposes
supersaturate supersaturated supersaturating supersaturates
superscribe superscribed superscribing superscribes
supersede superseded superseding supersedes
supervene supervened supervening supervenes
supervise supervised supervising supervises
supinate supinated supinating supinates
supper suppered suppering suppers
supplant supplanted supplanting supplants
supple suppled suppling supples
supplement supplemented supplementing supplements
supplicate supplicated supplicating supplicates
supply supplied supplying supplies
support supported supporting supports
suppose supposed supposing supposes
suppress suppressed suppressing suppresses
suppurate suppurated suppurating suppurates
surcease surceased surceasing surceases
surcharge surcharged surcharging surcharges
surf surfed surfing surfs
surface surfaced surfacing surfaces
surfboard surfboarded surfboarding surfboards
surfeit surfeited surfeiting surfeits
surge surged surging surges
surmise surmised surmising surmises
surmount surmounted surmounting surmounts
surname surnamed surnaming surnames
surpass surpassed surpassing surpasses
surprise surprised surprising surprises
surrender surrendered surrendering surrenders
surrogate surrogated surrogating surrogates
surround surrounded surrounding surrounds
surtax surtaxed surtaxing surtaxes
survey surveyed surveying surveys
survive survived surviving survives
suspect suspected suspecting suspects
suspend suspended suspending suspends
suspicion suspicioned suspicioning suspicions
sustain sustained sustaining sustains
susurrate susurrated susurrating susurrates
suture sutured suturing sutures
swab swabbed swabbing swabs
swaddle swaddled swaddling swaddles
swage swaged swaging swages
swagger swaggered swaggering swaggers
swallow swallowed swallowing swallows
swamp swamped swamping swamps
swan swanned swanning swans
swank swanked swanking swanks
swap swapped swapping swaps
sward swarded swarding swards
swarm swarmed swarming swarms
swash swashed swashing swashes
swat swatted swatting swats
swathe swathed swathing swathes
swatter swattered swattering swatters
sway swayed swaying sways
swear swore sworn swearing
sweep swept sweeping sweeps
sweeten sweetened sweetening sweetens
swelter sweltered sweltering swelters
swerve swerved swerving swerves
swig swigged swigging swigs
swill swilled swilling swills
swim swam swum swimming
swindle swindled swindling swindles
swing swung swinging swings
swinge swinged swingeing, |
swipe swiped swiping swipes
swirl swirled swirling swirls
swish swished swishing swishes
switch switched switching switches
switchback switchbacked switchbacking switchbacks
swob swobbed swobbing swobs
swoon swooned swooning swoons
swoop swooped swooping swoops
swoosh swooshed swooshing swooshes
swop swopped swopping swops
swot swotted swotting swots
syllabicate syllabicated syllabicating syllabicates
syllabify syllabified syllabifying syllabifies
syllabize syllabized syllabizing syllabizes
syllable syllabled syllabling syllables
syllogize syllogized syllogizing syllogizes
symbolize symbolized symbolizing symbolizes
symmetrize symmetrized symmetrizing symmetrizes
sympathize sympathized sympathizing sympathizes
synapse synapsed synapsing synapses
sync synced syncing syncs
synch synched synching synchs
synchronize synchronized synchronizing synchronizes
syncopate syncopated syncopating syncopates
syncretize syncretized syncretizing syncretizes
syndicate syndicated syndicating syndicates
synthesise synthesised synthesising synthesises
synthesize synthesized synthesizing synthesizes
syphon syphoned syphoning syphons
syringe syringed syringing syringes
syrup syruped syruping syrups
systematize systematized systematizing systematizes
systemize systemized systemizing systemizes
tab tabbed tabbing tabs
tabby tabbied tabbying tabbies
tabernacle tabernacled tabernacling tabernacles
table tabled tabling tables
taboo tabooed tabooing taboos
tabor tabored taboring tabors
tabu tabued tabuing tabus
tabularise tabularised tabularising tabularises
tabularize tabularized tabularizing tabularizes
tabulate tabulated tabulating tabulates
tack tacked tacking tacks
